Track,Danceability_scaled,Loudness_scaled,Cluster
Stan,0.9616896068776105,0.7556758685666372,1
Love The Way You Lie,0.7682862591598896,0.5809014460084798,1
Godzilla (feat. Juice WRLD),1.1363765015903908,0.5251905581408584,1
Sing For The Moment,0.26294202802649025,0.7953637134634826,1
Not Afraid,1.4296009320011283,1.5284795564648366,1
"Happy - From ""Despicable Me 2""",0.1319268569919051,0.6726025534719982,1
Down In Atlanta,1.404645661327874,0.5466367848863586,1
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",1.6666760033970442,1.0564160597104342,1
Cash In Cash Out,1.566854920704027,0.8971716634162596,1
"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",1.148854136927018,0.25945455317937216,1
Hit Different,0.33156902237793967,0.25131977751728574,1
Neon Guts (feat. Pharrell Williams),1.4545562026743826,0.1862415722205954,1
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),1.254914037288348,-0.13767040414247775,1
Just A Cloud Away,1.6479595503921036,-0.18845112494216792,1
Frontin' (feat. Jay-Z) - Club Mix,1.672914821065358,0.3642206033729079,1
lovely (with Khalid),-1.714763172828913,-0.6701284474790363,0
Numb,1.7852135390950024,0.669890961584636,1
Silence,-0.6604029868839189,1.0593741599511928,0
Young Dumb & Broke,1.0802271425755685,0.25624994458521694,1
Eastside (with Halsey & Khalid),0.03834459196720141,-0.0676620317778562,1
Better,-0.18625284409208745,-0.7117883592030543,0
Location,0.687181629471813,-1.003654249624575,1
8TEEN,1.273630490293289,0.39158303059992566,1
Beautiful People (feat. Khalid),0.08825513331371004,-0.17834428245290954,1
Love Lies (with Normani),0.5124947347590327,0.43496850079771915,1
"Shakira: Bzrp Music Sessions, Vol. 53",0.9492119715409834,0.44137771798602976,1
Monotonía,1.5418996500307727,0.7847638542674307,1
Te Felicito,0.4313901050709562,0.6745746202991706,1
Hips Don't Lie (feat. Wyclef Jean),0.9492119715409834,0.36939727879423556,1
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0.8244356181747118,0.24219896844161323,1
DON'T YOU WORRY,1.2798693079616024,0.5197673743661341,1
Dia de Enero,0.3814795637244483,-1.0349608105059378,1
Chantaje (feat. Maluma),1.4108844789961876,1.1017735967354,1
Inevitable,-0.19249166176040103,-0.09748954253883922,0
Antologia,1.329779849308111,-0.9043113832057633,1
my ex's best friend (with blackbear),0.655987541130245,0.5562506106688242,1
I Think I'm OKAY (with YUNGBLUD & Travis Barker),0.013389321293947088,0.6587980856817911,1
maybe (feat. Bring Me The Horizon),-0.15505875575051956,0.6380913839964806,0
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0.16935976300178657,0.5320927920359618,1
forget me too (feat. Halsey),0.17559858067010015,0.6274915248004287,1
bloody valentine,-0.5792983571958423,0.7835313125004479,0
Bad Things (with Camila Cabello),0.44386774040758337,0.6491842598993255,1
make up sex (feat. blackbear),0.24422557502154954,0.8057170643061379,1
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",0.5935993644471093,0.171451071016802,1
ay! (feat. Lil Wayne),0.7246145354816945,0.17293012113718137,1
X,-0.1987304794287146,0.5158232407117892,0
El Perdón (with Enrique Iglesias),0.013389321293947088,0.384680796704822,1
Bella y Sensual,0.05706104497214214,0.11869828338993936,1
"Nicky Jam: Bzrp Music Sessions, Vol. 41",0.0071505036256335084,1.0411325417998478,1
Cuaderno,0.34404665771456683,0.584106054602635,1
En La Cama (feat. Daddy Yankee),1.4296009320011283,0.6306961333945839,1
Si Te Preguntan...,0.8369132535113389,1.1150850478188141,1
Hasta el Amanecer,1.286108125629916,0.33242102578475247,1
Color Esperanza 2020,-0.21744693243365537,-0.0930523921777013,0
Here Comes The Sun - Remastered 2009,-0.4295667331563164,-0.7625690800027445,0
Let It Be - Remastered 2009,-1.1407919473440642,-0.2338086619671343,0
Come Together - Remastered 2009,-0.5792983571958423,-1.1148295170064215,0
Twist And Shout - Remastered 2009,-0.8974780582798348,-0.44555933753477495,0
In My Life - Remastered 2009,0.38771838139276116,-0.97826388922473,1
Hey Jude - Remastered 2015,-1.4964045544379379,-0.07628982414673566,0
I Want To Hold Your Hand - Remastered 2015,-0.8475675169333262,0.45394964400925386,0
Something - Remastered 2009,-1.434016377754802,-0.8582143211206077,0
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.281658481031431,1.031518716017382,1
